0	-
1	141/364
2	160/273
2	625/1092
2	2603/4368
2	1075/2184
1	565/1092
1	323/546
2	2747/4368
1	785/2184
2	775/1456
2	45/104
1	11/56
1	435/728
2	2137/4368
2	831/1456
2	2143/4368
2	269/624
3	3883/6552
2	557/1092
2	341/728
3	158/273
3	1805/3276
1	359/1092
2	1265/2184
2	5/12
2	1969/4368
2	991/2184
2	319/624
2	343/624
1	141/364
1	1091/2184
1	409/1092
2	197/364
2	2377/4368
2	77/156
2	1195/2184
2	77/156
2	77/156
2	2455/4368
2	2455/4368
2	125/273
2	193/312
1	29/104
2	443/728
1	25/78
1	107/546
2	15/26
1	331/1092
2	289/546
0	-
2	261/364
2	215/364
2	365/728
1	17/91
2	409/728
2	29/56
1	4/13
2	437/728
1	85/182
0	-
2	17/28
2	5/7
2	17/28
1	3/14
1	13/28
2	4/7
1	2/7
1	3/7
