0	-
1	5/12
2	5/8
2	29/48
2	5/8
2	25/48
1	13/24
1	5/8
2	2/3
1	3/8
2	9/16
2	11/24
1	5/24
1	5/8
2	25/48
2	29/48
2	25/48
2	11/24
3	5/8
2	13/24
2	1/2
3	11/18
3	7/12
1	113/312
2	95/156
2	23/52
2	23/48
2	25/52
2	83/156
2	359/624
1	5/12
1	83/156
1	17/42
2	95/168
2	191/336
2	29/56
2	4/7
2	29/56
2	29/56
2	7/12
2	65/112
2	27/56
2	107/168
1	2/7
2	13/21
1	31/84
1	37/168
2	101/168
1	1/3
2	31/56
0	-
2	19/26
2	8/13
2	27/52
1	81/364
2	4/7
2	379/728
1	31/91
2	443/728
1	179/364
0	-
2	17/28
2	5/7
2	17/28
1	1/4
1	15/28
2	4/7
1	9/28
1	13/28
