variable,5 taxa,6 taxa,7 taxa
$T_1$ degree,2.425e-07,2.726e-55,0
$T_2$ degree,0.04367,4.302e-21,0
$d_{\operatorname{rSPR}}$,5.026e-09,1.104e-44,0
