0	-
1	0
2	1/16
2	-1/16
3	0
3	1/6
4	5/32
4	1/8
4	1/16
4	5/32
5	1/5
3	0
4	1/16
5	3/20
5	1/10
5	7/40
5	3/40
3	1/4
4	7/32
4	5/32
4	1/8
5	1/8
5	1/10
5	1/10
6	1/6
5	3/40
6	3/16
5	1/5
6	1/6
7	3/14
7	3/14
1	-1/4
3	1/4
1	-1/4
2	0
3	1/12
5	1/5
2	0
3	1/12
4	7/32
5	1/8
6	3/16
2	1/16
3	1/12
4	3/32
5	7/40
6	1/4
4	1/16
5	1/10
6	7/48
4	5/32
7	3/14
3	1/12
4	3/32
5	1/5
1	0
2	1/8
4	5/32
5	3/20
6	3/16
2	-1/16
3	1/12
3	0
4	3/32
4	1/32
5	3/20
4	1/32
3	-1/12
4	1/32
4	-1/32
5	3/40
5	1/10
5	1/10
6	7/48
5	1/10
6	3/16
6	7/48
6	1/6
5	1/5
6	3/16
6	3/16
6	1/6
5	1/5
6	3/16
6	7/48
6	7/48
6	5/24
6	1/6
4	1/16
5	3/40
6	3/16
4	3/32
5	3/20
5	3/20
5	3/40
6	3/16
5	1/10
5	3/40
3	0
4	1/32
4	1/32
4	1/32
5	3/20
4	3/32
6	3/16
5	1/10
5	3/20
5	1/5
4	5/32
7	3/14
7	3/14
6	1/6
6	1/6
5	1/10
6	1/4
3	1/12
4	3/32
7	1/4
7	13/56
5	3/20
6	7/48
4	5/32
3	0
2	-1/16
5	1/10
5	1/10
4	1/32
6	3/16
6	3/16
4	1/32
5	1/10
5	1/8
4	1/32
6	1/6
5	1/20
5	1/8
4	3/32
4	1/16
3	-1/12
5	1/8
3	0
6	5/24
3	0
6	7/48
6	1/6
5	1/8
4	1/8
2	-3/16
3	1/12
2	0
4	1/16
3	0
4	1/32
5	1/8
5	1/10
5	1/8
3	0
6	1/6
6	7/48
5	1/8
4	5/32
5	7/40
4	1/8
6	3/16
1	-1/4
2	1/16
2	1/16
5	7/40
5	1/8
3	0
6	3/16
5	1/10
5	1/8
5	7/40
6	7/48
6	5/24
6	3/16
3	0
2	1/16
6	1/6
4	1/8
2	-3/16
4	5/32
1	-1/4
3	1/12
4	1/32
5	1/8
4	1/16
4	1/32
4	1/32
5	1/8
5	3/40
5	1/10
4	1/16
5	1/10
6	3/16
5	3/40
5	3/40
5	1/10
4	1/32
5	1/20
6	3/16
5	1/8
5	3/40
4	1/32
3	1/12
5	1/8
6	1/6
3	0
3	-1/12
4	1/8
3	0
2	0
3	0
4	1/32
3	-1/12
4	1/32
3	-1/12
6	1/6
3	0
6	3/16
4	3/32
5	3/40
4	1/32
5	1/20
5	3/40
5	1/10
6	3/16
5	1/8
